id|wkt
854|MULTIPOLYGON(((9.88901429406153 47.3758338732834,9.88914410822217 47.3756072859585,9.8891441493913 47.3756036125739,9.88911240156226 47.3755694215127,9.88907059843536 47.375636348718,9.88896475836593 47.3758211034929,9.88901429406153 47.3758338732834)))
885|MULTIPOLYGON(((13.7430650645939 46.8146951185889,13.7431325245591 46.8148136850777,13.743339170693 46.8148540625195,13.7436451374475 46.814825544605,13.7438106619174 46.8147107104803,13.7438162242955 46.8145690355903,13.7436426243548 46.8144965523127,13.7433700058821 46.814534083178,13.7431108076304 46.814585287019,13.7430650645939 46.8146951185889)))
897|MULTIPOLYGON(((12.3807059812099 46.8209926288463,12.380719526557 46.82105827937,12.3807779757777 46.8210394618996,12.3808133234465 46.8210047380169,12.3808277723562 46.8209474944289,12.3808138812469 46.8208462518726,12.3806861684437 46.8208121673476,12.3807059812099 46.8209926288463)))
914|MULTIPOLYGON(((13.9561161722797 47.4046647727193,13.9561328691394 47.4047265873311,13.9562278822995 47.4048866298571,13.956271393375 47.4049384825444,13.9564535200679 47.4049630314641,13.956698942821 47.4049467737029,13.9561928096658 47.4044950184477,13.956086505914 47.4045549349641,13.9561161722797 47.4046647727193)))
930|MULTIPOLYGON(((16.8978052989034 47.9243467135387,16.8978752534246 47.9243133151517,16.8944765855094 47.9222941483107,16.8944221023061 47.9223416307538,16.8978052989034 47.9243467135387)))
948|MULTIPOLYGON(((15.0710773778781 47.5356077320647,15.0713234007764 47.53572170795,15.0717199571466 47.5357125235733,15.0717742296743 47.534327501782,15.07120674666 47.5345695803853,15.071143795307 47.5350716748342,15.0710773778781 47.5356077320647)))
971|MULTIPOLYGON(((14.2215216407181 47.0098537454835,14.2217454558282 47.009767019707,14.2216914079172 47.0096900995756,14.2213325202576 47.0096611232837,14.2215216407181 47.0098537454835)))
979|MULTIPOLYGON(((14.2160240484513 46.9771438776875,14.2160421666096 46.9771558671402,14.2163191176685 46.9771179065501,14.2162536634631 46.9769530409378,14.2160873737463 46.9767899647338,14.2159801159829 46.9768136430377,14.2159813700887 46.9771143426809,14.2160240484513 46.9771438776875)))
983|MULTIPOLYGON(((14.2179150841042 46.9794000667841,14.2179229411382 46.9794156000347,14.2180043918612 46.9794179548738,14.2180529250317 46.9792763025743,14.2179755668182 46.9792828694192,14.2179354600945 46.9793189946714,14.2179003894299 46.9793710080119,14.2179150841042 46.9794000667841)))
1006|MULTIPOLYGON(((14.2197794056275 47.0098008667469,14.2192562827783 47.0094993122969,14.2192569767411 47.009597290733,14.2197078506931 47.0098410613838,14.2197794056275 47.0098008667469)))
1094|MULTIPOLYGON(((10.0314694656328 47.3746289245906,10.0317311056737 47.3746978525968,10.0322018905646 47.3744523292011,10.0320582244584 47.3743330929343,10.0314694656328 47.3746289245906)))
1118|MULTIPOLYGON(((14.7104082215536 46.5642063589432,14.7110318717546 46.5665326795911,14.7118548606719 46.5664538791595,14.7111146805969 46.5636929164783,14.7102911563644 46.5637695767324,14.7104082215536 46.5642063589432)))
1123|MULTIPOLYGON(((14.7123731044369 46.5635757422724,14.7111146808278 46.5636929254746,14.7118548606719 46.5664538791595,14.711934230376 46.566446259535,14.7130830956254 46.5663318379553,14.7123731044369 46.5635757422724)))
1126|MULTIPOLYGON(((16.2747631955672 47.1468148934618,16.2749012738483 47.1468022978673,16.2769472875895 47.1466126790065,16.2768468278252 47.1462529256668,16.2746923175762 47.1464547351531,16.2747631955672 47.1468148934618)))
1130|MULTIPOLYGON(((10.0290509200605 47.3739511611099,10.0294122456228 47.3740209880995,10.0294042737158 47.3733969394701,10.0290388631098 47.3734137013548,10.0290509200605 47.3739511611099)))
1149|MULTIPOLYGON(((10.7319665591365 47.1575368545682,10.732047471133 47.1575904711911,10.7321423803128 47.1576265011977,10.7323292068839 47.1576138839471,10.7325364564409 47.1575356345595,10.7321672265325 47.1572391283234,10.7320813996251 47.1572884728104,10.7320223561765 47.1573790955309,10.7319665591365 47.1575368545682)))
1150|MULTIPOLYGON(((10.739014232425 47.1680072950857,10.739079328284 47.1680053943567,10.7389449855659 47.1677422221459,10.7384073955365 47.1678531384695,10.7384603306102 47.1680208796014,10.739014232425 47.1680072950857)))
1162|MULTIPOLYGON(((14.4562749180216 47.8545058994602,14.4563509467667 47.8545178843752,14.4564562120732 47.8544531057753,14.4563377279262 47.8544119037435,14.4562978731928 47.8544610395507,14.4562749180216 47.8545058994602)))
1181|MULTIPOLYGON(((10.456918562887 47.1338587557378,10.4570551049745 47.1341457358945,10.4573159186365 47.1339652667388,10.4571548335276 47.1338097093181,10.456918562887 47.1338587557378)))
1200|MULTIPOLYGON(((11.778431262729 47.4208613862052,11.7784622536709 47.4211718977133,11.7785844898174 47.4211806344238,11.778705485862 47.4211433675762,11.778737797781 47.4210199854564,11.7786906993389 47.420907744031,11.778431262729 47.4208613862052)))
1201|MULTIPOLYGON(((11.7781331412738 47.4211262469826,11.7782501224258 47.4212208381041,11.7783438685258 47.421209199837,11.7783179295515 47.421028419344,11.7781585527998 47.4209537247574,11.778042437142 47.4210528918346,11.7781331412738 47.4211262469826)))
1202|MULTIPOLYGON(((11.7783972395777 47.421339804395,11.7785748817396 47.4214834570024,11.778646362296 47.4214234231338,11.7786210223741 47.4212954949232,11.7784670309418 47.4213095714179,11.7783972395777 47.421339804395)))
1215|MULTIPOLYGON(((10.4634110486761 47.1282843212245,10.4631196115453 47.1277978369366,10.4629039412117 47.1278500532088,10.463205993263 47.1283446394986,10.4634110486761 47.1282843212245)))
1253|MULTIPOLYGON(((11.2155374253611 47.4171172317001,11.2167820197713 47.4177875557632,11.217136451929 47.4175615448366,11.2160320556344 47.416887881136,11.2155374253611 47.4171172317001)))
1278|MULTIPOLYGON(((10.4580596967936 47.1370876274964,10.4580227796456 47.1370477248396,10.4579375370401 47.137065981318,10.4577943459525 47.1371128185593,10.4577779125235 47.1371892068148,10.4578909765497 47.1373450523578,10.4579588823947 47.1374076813268,10.458028878298 47.1374670586454,10.4580472463113 47.1374330379149,10.4580891434203 47.1373085910536,10.4580996983199 47.1372551582955,10.4580982581352 47.1372010080513,10.4580956716388 47.1371611631334,10.4580829371327 47.1371278956241,10.4580596967936 47.1370876274964)))
1284|MULTIPOLYGON(((10.4573228593631 47.1344923906266,10.4571324660081 47.1343123304195,10.4570133606151 47.1343936757256,10.4572196378416 47.1345737777532,10.4573228593631 47.1344923906266)))
1294|MULTIPOLYGON(((10.7374397590101 47.1706189450153,10.7372762362795 47.1701295938628,10.7370892234509 47.170163435556,10.7372532283118 47.170653959375,10.7374397590101 47.1706189450153)))
1318|MULTIPOLYGON(((10.4623856660531 47.1268948111603,10.4622982935512 47.1269174016033,10.4623617013208 47.1270385123208,10.4624493453663 47.127017243259,10.4623856660531 47.1268948111603)))
1331|MULTIPOLYGON(((15.408915865059 47.2319641396697,15.4095587946472 47.2329925468122,15.4098012284736 47.2329054567689,15.4096604236609 47.2326652976159,15.4093976982302 47.232219973217,15.4092126612047 47.231950626514,15.4090942520127 47.2319140027108,15.408915865059 47.2319641396697)))
1333|MULTIPOLYGON(((9.91837151141599 47.3874173944545,9.91871320574321 47.3875285406893,9.91878103398075 47.3874758097733,9.91863538600498 47.3873106137008,9.91837151141599 47.3874173944545)))
1341|MULTIPOLYGON(((10.4624493453663 47.127017243259,10.4625378661494 47.1269953749978,10.462473476233 47.1268733932142,10.4623856660531 47.1268948111603,10.4624493453663 47.127017243259)))
1397|MULTIPOLYGON(((10.731637354921 47.1757994400471,10.7318978145787 47.1760542508372,10.732187360861 47.1759352985822,10.7319934597421 47.1757717411839,10.7318407528243 47.175700566879,10.731637354921 47.1757994400471)))
1402|MULTIPOLYGON(((10.7347557469749 47.1576550639574,10.7352743277205 47.157817868669,10.7354169023669 47.1574647753424,10.7354268679925 47.1573080027742,10.7351087626275 47.1572320637477,10.7347557469749 47.1576550639574)))
1406|MULTIPOLYGON(((10.7327390082584 47.1689267789428,10.732631001244 47.1686164046107,10.7323689693375 47.1686547626368,10.7322171968679 47.1688005057553,10.7322820188735 47.1689787671406,10.7327390082584 47.1689267789428)))
1417|MULTIPOLYGON(((15.043829514757 47.5857183666774,15.0439321892627 47.585762502922,15.0441081892156 47.5857781452334,15.0442819514699 47.585725334845,15.0444149453686 47.5856639962314,15.0443961237664 47.5854998834882,15.0440822367892 47.5853949572236,15.0439480569208 47.5854197843829,15.0437039223962 47.5855923702794,15.043829514757 47.5857183666774)))
1432|MULTIPOLYGON(((15.8623049791786 46.9594696966343,15.8630383627322 46.9591314132745,15.862709937584 46.9586146047498,15.8622532296189 46.9585679052521,15.8621905885572 46.9585634753145,15.862137821656 46.9585678911212,15.8618116858203 46.9586624683524,15.8620822044107 46.959107233306,15.8623049791786 46.9594696966343)))
1444|MULTIPOLYGON(((15.4115334811854 47.2312892981287,15.4110771002978 47.2311228668355,15.4110684540347 47.2311894870473,15.4110630843429 47.2316042128347,15.4111250331184 47.2319229970429,15.4112146651342 47.2320813309362,15.4115019317895 47.2323939091059,15.4115344841335 47.2324209856439,15.4116794221633 47.2323401390235,15.4118223277777 47.2321839103458,15.4119411359102 47.2319183716225,15.4118918883337 47.2315873043498,15.4115334811854 47.2312892981287)))
1469|MULTIPOLYGON(((9.89879372006005 47.3919158219962,9.89890220321581 47.3919496955367,9.89895749210369 47.3919580941899,9.8990019413205 47.3919500726258,9.89902888212725 47.3919266102468,9.89902646355461 47.3918988069516,9.89890974447992 47.3918525183679,9.89873284822035 47.3918093472228,9.89871652344689 47.3918900939275,9.89879372006005 47.3919158219962)))
1486|MULTIPOLYGON(((13.8157532333879 46.7132721931181,13.815797697752 46.7132677393072,13.8158662721838 46.7131306881173,13.8157098428281 46.7130814045866,13.8157532333879 46.7132721931181)))
1511|MULTIPOLYGON(((12.9160834633468 48.013632361791,12.9164835741291 48.0141266878552,12.9165436614263 48.0141026783597,12.9161584479052 48.0136165032691,12.9160834633468 48.013632361791)))
